parameter,sparsity,top1,top5,loss
conv1.weight,0.0,0.9708333333333334,0,0
conv1.weight,0.1,0.9708333333333334,0,0
conv1.weight,0.2,0.9708333333333334,0,0
conv1.weight,0.30000000000000004,0.9688333333333332,0,0
conv1.weight,0.4,0.9713333333333333,0,0
conv1.weight,0.5,0.9688333333333332,0,0
conv1.weight,0.6000000000000001,0.9685,0,0
conv1.weight,0.7000000000000001,0.9656666666666667,0,0
conv1.weight,0.8,0.9601666666666666,0,0
conv1.weight,0.9,0.9279999999999999,0,0
layer1.0.conv1.weight,0.0,0.9708333333333334,0,0
layer1.0.conv1.weight,0.1,0.9708333333333334,0,0
layer1.0.conv1.weight,0.2,0.9708333333333334,0,0
layer1.0.conv1.weight,0.30000000000000004,0.9688333333333332,0,0
layer1.0.conv1.weight,0.4,0.9715,0,0
layer1.0.conv1.weight,0.5,0.9688333333333334,0,0
layer1.0.conv1.weight,0.6000000000000001,0.9691666666666666,0,0
layer1.0.conv1.weight,0.7000000000000001,0.966,0,0
layer1.0.conv1.weight,0.8,0.9596666666666668,0,0
layer1.0.conv1.weight,0.9,0.9251666666666665,0,0
layer1.0.conv2.weight,0.0,0.9708333333333334,0,0
layer1.0.conv2.weight,0.1,0.9708333333333334,0,0
layer1.0.conv2.weight,0.2,0.9708333333333334,0,0
layer1.0.conv2.weight,0.30000000000000004,0.9708333333333334,0,0
layer1.0.conv2.weight,0.4,0.9708333333333334,0,0
layer1.0.conv2.weight,0.5,0.9711666666666666,0,0
layer1.0.conv2.weight,0.6000000000000001,0.9709999999999999,0,0
layer1.0.conv2.weight,0.7000000000000001,0.9701666666666666,0,0
layer1.0.conv2.weight,0.8,0.967,0,0
layer1.0.conv2.weight,0.9,0.9650000000000001,0,0
layer1.0.conv3.weight,0.0,0.9708333333333334,0,0
layer1.0.conv3.weight,0.1,0.9708333333333334,0,0
layer1.0.conv3.weight,0.2,0.9708333333333334,0,0
layer1.0.conv3.weight,0.30000000000000004,0.9695,0,0
layer1.0.conv3.weight,0.4,0.9706666666666667,0,0
layer1.0.conv3.weight,0.5,0.9691666666666666,0,0
layer1.0.conv3.weight,0.6000000000000001,0.9716666666666667,0,0
layer1.0.conv3.weight,0.7000000000000001,0.9710000000000001,0,0
layer1.0.conv3.weight,0.8,0.9711666666666666,0,0
layer1.0.conv3.weight,0.9,0.9638333333333333,0,0
layer1.0.downsample.0.weight,0.0,0.9708333333333334,0,0
layer1.0.downsample.0.weight,0.1,0.9708333333333334,0,0
layer1.0.downsample.0.weight,0.2,0.9708333333333334,0,0
layer1.0.downsample.0.weight,0.30000000000000004,0.9708333333333334,0,0
layer1.0.downsample.0.weight,0.4,0.9696666666666667,0,0
layer1.0.downsample.0.weight,0.5,0.9695,0,0
layer1.0.downsample.0.weight,0.6000000000000001,0.9711666666666667,0,0
layer1.0.downsample.0.weight,0.7000000000000001,0.9715,0,0
layer1.0.downsample.0.weight,0.8,0.9661666666666667,0,0
layer1.0.downsample.0.weight,0.9,0.958,0,0
layer1.1.conv1.weight,0.0,0.9708333333333334,0,0
layer1.1.conv1.weight,0.1,0.9708333333333334,0,0
layer1.1.conv1.weight,0.2,0.9708333333333334,0,0
layer1.1.conv1.weight,0.30000000000000004,0.9688333333333332,0,0
layer1.1.conv1.weight,0.4,0.9713333333333333,0,0
layer1.1.conv1.weight,0.5,0.9676666666666666,0,0
layer1.1.conv1.weight,0.6000000000000001,0.9676666666666668,0,0
layer1.1.conv1.weight,0.7000000000000001,0.9644999999999999,0,0
layer1.1.conv1.weight,0.8,0.9570000000000001,0,0
layer1.1.conv1.weight,0.9,0.9148333333333334,0,0
layer1.1.conv2.weight,0.0,0.9708333333333334,0,0
layer1.1.conv2.weight,0.1,0.9708333333333334,0,0
layer1.1.conv2.weight,0.2,0.9708333333333334,0,0
layer1.1.conv2.weight,0.30000000000000004,0.9708333333333334,0,0
layer1.1.conv2.weight,0.4,0.9708333333333334,0,0
layer1.1.conv2.weight,0.5,0.9710000000000001,0,0
layer1.1.conv2.weight,0.6000000000000001,0.9695,0,0
layer1.1.conv2.weight,0.7000000000000001,0.9693333333333334,0,0
